SOURCE,ORG_NAME
amplifidao,AmpliFi DAO
0x4ef22a7356d96dbf95a7fdead4a196a668e75b38,PubDAO
UTC,UTC: 0
UTC,UTC: 1
OFAC Sanctions List,OFAC Sanctions List: 0
Test_Reserve: 0,thesiftingpan
Test_Reserve: 0,thesiftingpan
MetricsDAO Academy: 7,sistersoutlaws
MetricsDAO Academy: 7,sistersoutlaws
OTNs: 4,crazymotherfuckingbastard
OTNs: 0,crazymotherfuckingbastard
OTNs: 0,sb0d7
OTNs: 4,sb0d7
TalentDAO - Research Guild: 0,itamarg
MetricsDAO Academy: 12,0xc26e44682bc139858ce90c62359fa4d87d1f9711
TalentDAO: 0,0x8bc0af2a6b8cd27884a32bcb740e0db3d2c90074
MetricsDAO Academy: 8,0xe11cecd3db711bc73cd92db16be9570d1eac8b05
cosanostra: 4,0x8841ead20726a3d9e299c4ff73e29e4668e8f364
MetricsDAO Academy: 8,0x0f68924a16363f667e554c0f5bc96d43be65b987
 Pine Badges: 1,0x2ef81c2c563113d0bb488d6528adc42d40d41fbf
MetricsDAO Academy: 12,0xdf89795fd1341a37609d02b3b7c8b0757c733dd8
MetricsDAO Academy: 7,0xee8e7de493b60bf7a3352a9cd1fa3c686a2664c3
MetricsDAO Academy: 7,0x3da3ed355a8150644922fa0042923c5d8179988e
MetricsDAO Academy: 7,0x60cc89733e04b6c07c6db922b7b835101872af9d
MetricsDAO Academy: 8,0x03b8fd27b6157556e888650c1ac67375bad7c535
 Pine Badges: 1,0xb7990f9cb831cd90ba59bcd1d9d51dc446e6ef2f
MetricsDAO Academy: 7,0x52711f09ac6d334b89f3293ec5e63f0fb7e4fcba
MetricsDAO Academy: 9,0x11d85393510f6ac21d64aa90a7b1c850b05a097c
MetricsDAO Academy: 8,0x00539cfe3cb60f02a5aad093c71ab3e8dfa841c9
MetricsDAO Academy: 1,0xa77c0a6e0225a9c8bc34b46a074723fcff9c3e8e
MetricsDAO Academy: 8,0x0d1a23ffd7667b246fbd357b01b61468a2a9d819
MetricsDAO Academy: 7,0x049fa027e31206dd10b1ef184e7f564b41eef68f
MetricsDAO Academy: 8,0x25339ab26f8b6eb01d612d36eb14c8ecf8918996
MetricsDAO Academy: 8,0x0c34ebf011f25f6b886738d8b5566e8b634fffa1
MetricsDAO Academy: 8,0xc00f5fac84f41f6e6717aebd01083981894396ac
Lobby3 Draft Organization: 0,0x4f7dc1e9538a186952c712065e03a13eca03f6a8
Pine DAO: 2,0x6781c5841b7b5e61d0c3afe8bd081f02161ad239
MetricsDAO Academy: 8,0xa12c40c3dc93884c258eb9ed6c541d835be1c6a7
MetricsDAO Academy: 8,0xd4fc68afc51623c0a26396c2107a3684ac3e00e3
MetricsDAO Academy: 10,0x29eb66d3f5fbc86373a59edafa32518c9816c874
MetricsDAO Academy: 8,0x713b5f51b4c0caa3a0528fc06f1bf74242ff56f1
MetricsDAO Academy: 7,0x94d463c1cfa656a2108dcc76af179f5744b6147e
OFAC Sanctions List: 0,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf
MetricsDAO Academy: 7,0x94d463c1cfa656a2108dcc76af179f5744b6147e
MetricsDAO Academy: 0,0x3f6ce63827198b638453130ca8472bc5971a4022
MetricsDAO Academy: 8,0x503f9bf82303f026e02ad19b1d709d34f1df0bf9
MetricsDAO Academy: 8,0x5ad131825b61653cc33d2ec832095ae96a55990a
MetricsDAO Academy: 9,0x7a629dc97e1a1a303a563111252c435bf18dde64
MetricsDAO Academy: 0,0x29ceec46c11255e5a62aa5d15d6ea077f0132090
Flipside ProAd,Flipside ProAd: 0
PubDAO,PubDAO: 0
chartest§,chartest§: 0
Dune Wizards,Dune Wizards: 0
MetricsDAO Academy: 12,0xf7b9571735bdd26917fdefa659e22c7ab2c32f87
Royalty Tester: 0,0xca32ed9f1ed2974bb59682f4e70ff92d85e433b8
Pine DAO: 1,0x5507963e2afd622bab95844f724e04ceb5789e49
MetricsDAO Academy: 8,0x0e73e274e4b149ba5c589b0755d1ceddd2745215
MetricsDAO Academy: 2,0xc496c35c7545fd595478746fbf34a0d5357045f5
Pine Citizen: 0,0x6781c5841b7b5e61d0c3afe8bd081f02161ad239
MetricsDAO Academy: 7,0x84db526fbc619446aa47bb9dcaaed85266ead323
MetricsDAO Academy: 7,0x5b708f57a450b2843ad56e23412310c32cafc33e
MetricsDAO Academy: 8,0xceb5d51d841cae57e7e255f441edbb793c94cbc3
MetricsDAO Academy: 8,0x2b1a378d768911c9f2438cd63dcd93023416d4f0
MetricsDAO Academy: 9,0x8cc531f453ddc5f229db9ca1b13205dfdaf2a854
MetricsDAO Academy: 8,0x0000001089167600c25258da29d2e2c857ec1689
MetricsDAO Academy: 1,0xd634328ba5d3550a708bd8d3d96a182745599825
MetricsDAO Academy: 7,0x5072a8af5b898ea347f3e71598883d11ab7b97a6
MetricsDAO Academy: 8,0x9dd50ddc6bc5aaa50b345316dd07388f536e9255
MetricsDAO Academy: 10,0xaaff9dbe4aba011ac56b48119dc734d7c6a46ca4
MetricsDAO Academy: 10,0xd089cecba81a131b48a0ed16ea3cad42e0707b9f
iamdaphn,DKNY
TalentDAO - Writers Guild: 0,zkyou
TalentDAO: 0,zkyou
MetricsDAO Academy: 8,0x151b5d4131530da83223996b8e8b9e5e523fcb46
