ORG_NAME,target
Alpha Badger,rplust
OTNs,rplust
OTNs,rplust
MetricsDAO,rplust
OTNs,jierlich
OTNs,jierlich
OCC,tornadoxxed
MetricsDAO Academy,putrikeme
SLC DAO,quorummedia
MetricsDAO Academy,0x62b8285c19b7adc7cc2d98358934e7d02fa97681
MetricsDAO Academy,0x81f29b074a386cd545cb0db57cb3323ef0d1e69e
MetricsDAO Academy,0x2819cae55deea3c46d941982c0157801b6770bb1
MetricsDAO Academy,0x2f95422bcd3e84808a65457610d22a494ae36ea2
MetricsDAO Academy,0x1805077c296f00e5fb38c27ca0b12f8fbd1bf6b6
MetricsDAO Academy,0x79a65399d500c4d411fbcb7e58cb873678c911da
MetricsDAO Academy,0xe7b0a660e8712494144a79042e5d24bf7b80b0ea
MetricsDAO Academy,0x078b5451242d39091f03acc835239372729fb9c9
OFAC Sanctions List,0xbb93e510bbcd0b7beb5a853875f9ec60275cf498
MetricsDAO Academy,0x1a36d62a4eb74bbcc286bf0bc8129a14e96467f7
MetricsDAO Academy,0x272310a269f5275a624fc7174df8115c7be3ef7a
OFAC Sanctions List,0x07687e702b410fa43f4cb4af7fa097918ffd2730
MetricsDAO Academy,0x7883de49d31b13f7a2ca7aba9c1167f1646896bb
MetricsDAO Academy,0x713b5f51b4c0caa3a0528fc06f1bf74242ff56f1
Pine Citizen,0x04ae8c108743167c7457073ba8c1571fd5d56325
MetricsDAO Academy,0x7cce3bba6f0e39585b527415e0c7ce1f56d2ead3
Pine Citizen,0x2ef81c2c563113d0bb488d6528adc42d40d41fbf
MetricsDAO Academy,0x789223f3a31d77e185000819280d56a0565c6a37
OFAC Sanctions List,0x58e8dcc13be9780fc42e8723d8ead4cf46943df2
MetricsDAO Academy,0x31e81edfc08385860c3ffbbcf90de1ed18712799
OFAC Sanctions List,0x1356c899d8c9467c7f71c195612f8a395abf2f0a
MetricsDAO Academy,0xe0c575a9966aa6c92955b0f1cb493a95faf6bb74
mDAO Bounty Boyz,0x20e0f0d4fffb9a8b4c6d48f68b1058a294503886
MetricsDAO Academy,0xe3bc0971a2450a6e8290f512274113369b88fe4d
MetricsDAO Academy,0xbf11a74c336b487d3a86babaf31ced15654fcb24
Pine Citizen,0x6c003bc3ac4b75b53b14ab9ee610a1a8ccb65307
